Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
Age of apocalypse : the complete epic,,,"Nicieza, Fabian [person] ; Daniel, Tony [person]",X-men (Comic strip),,England ; United States of America,London ; New York,Diamond ; Marvel,,Comic or graphic novel ; Fiction ; Science fiction
Age of apocalypse prelude,,9.78079E+12,"Loeb, Jeph [person]",X-men,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,Comic or graphic novel ; Fiction
Age of bronze,,,"Shanower, Eric [person]",,,United States of America,"Orange, California",Image,2001-,Comic or graphic novel
Age of chaos,,9.78152E+12,"Lau, Jonathan, artist [person] ; Burnham, Erik, author [person]",Red Sonja,,United States of America,Mount Laurel,Dynamite Entertainment,2020,Comic or graphic novel ; Fantasy ; Fiction
Age of eggstinction,Angry Birds Transformers. Age of eggstinction,9.78163E+12,"Ramondelli, Livio, artist [person] ; Koutsis, Nikos [person] ; Barber, John, 1976-, author [person] ; Ferreira, Marcelo, artist ; illustrator [person] ; Mowry, Chris [person] ; Lee, Shawn, letterer [person]",Angry Birds Transformers,,United States of America,"San Diego, California",,2015,Children's fiction ; Comic or graphic novel ; Science fiction
Age of innocence,Alack Sinner : the age of innocence ; Alack Sinner. English,9.78163E+12,"Schutz, Diana, translator [person] ; Sampayo, Carlos, 1943-, author [person] ; Muñoz, José, 1942-, artist [person]",,,United States of America,"San Diego, California",EuroComics,2017,Comic or graphic novel
Age of the wolf,,9.78178E+12,"Davis-Hunt, Jon, illustrator [person] ; Worley, Alec, 1974-, author [person]",,,England,Oxford,Rebellion,2014,Comic or graphic novel ; Fiction ; Novel ; Paranormal fiction
Agent 47 : birth of the Hitman,,9.78152E+12,"Sebela, Christopher, author [person] ; Lau, Jonathan, artist [person] ; Marques, Anthony, 1984-, editor [person] ; Medel, Ariel, artist [person]",,,United States of America,"Montana Laurel, New Jersey",Dynamite Entertainment,2018,Comic or graphic novel
Agent Orange,Green Lantern : Agent Orange,9.7814E+12,"Johns, Geoff, 1973- [person] ; Tan, Philip, 1978- [person]",,,United States of America,New York,DC Comics,2009,Comic or graphic novel ; Science fiction
Agent X,,9.7816E+12,"Michiels, Cedric, 1981- [person]",Garfield,8 [Garfield],England ; United States of America,Godalming ; New York,Melia ; Papercutz,2013,Children's fiction ; Comic or graphic novel
Agent secrets,A case of assumption ; Arch nemesis ; Drawn in ; Husbands ; Nocte machinas ; The well-intentioned-but-oblivious prince and the justifiably belligerent peasant OR Equally ever after,9.78162E+12,"Chan, Ron, artist [person] ; Espenson, Jane, author [person] ; Dewey, Ben, 1980-, artist [person] ; Del Rio, Tania, artist [person] ; Nourigat, Natalie, artist [person] ; Corley, M. S., artist [person] ; Bell, Brad, 1985-, author [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2013,Comic or graphic novel ; Fantasy
Agents of Atlas,,9.78079E+12,"Parker, Jeff, 1966- [person] ; Ruiz, Félix [person]",Marvel Boy,,England ; United States of America,London ; New York,Diamond ; Marvel,2010,Comic or graphic novel ; Young adult fiction
Agents of Spyral,Grayson. Volume 1. Agents of Spyral,9.7814E+12,"Ortego, Guillermo, illustrator [person] ; Robinson, Andrew (Andrew C.), illustrator [person] ; Mooney, Stephen, illustrator [person] ; Cox, Jeromy, illustrator [person] ; Janín, Mikel, illustrator [person] ; Glapion, Jonathan, illustrator [person] ; Seeley, Tim, author [person] ; King, Tom, 1978-, author [person] ; Castro, Juan, artist [person] ; Mangual, Carlos M., illustrator [person]",,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Novel
Ages of Apocalypse,Twelve ; X-Men vs. Apocalypse ; X-men (Comic strip),,"Larsen, Erik [person] ; Yu, Leinil Francis [person]",,,United States of America,New York,Marvel Publishing,2008,Comic or graphic novel ; Fiction
Agon,,9.78098E+12,"Churin, Pablo [person] ; Burn, Scott [person]",,,England ; United States of America,"Fort Washington, Pennsylvania ; London",Diamond ; Zenescope,2010,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
Agony,,9.78159E+12,"Whitehead, Colson, 1969-, writer [person] ; Beyer, Mark, author [person]",New York Review Comics,,United States of America,New York,New York Review,2016,Comic or graphic novel ; Novel
Ah Pook is here,Observed while falling,9.78161E+12,"McNeill, Malcolm [person] ; Burroughs, William S., 1914-1997 [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2011,Comic or graphic novel ; Fiction ; Novel
Ahakista gambit,"My brother, my enemy ; Rebellion ; Small victories ; Star wars rebellion ; Star wars. Vector",,"Williams, Rob (Robert Glyndwr) [person] ; Andrews, Thomas [person] ; Lacombe, Michel, 1973- [person] ; Barlow, Jeremy [person] ; Badeaux, Brandon [person]",,,England ; United States of America,"London ; Milwaukie, Oregon",Dark Horse Comics ; Titan,2007-2008,Comic or graphic novel
Ahead of the curve,Heroes for hire. Ahead of the curve,9.78079E+12,"Palmiotti, Jimmy [person] ; Gray, Justin, writer [person] ; Wells, Zeb [person] ; Rio, Al [person]",,,United States of America,New York,Marvel Publishing,2007,Comic or graphic novel
AiON,Hekikai no AiON. English,,"Doe, J. [person] ; Kagesaki, Yuna [person]",,,United States of America,Hamburg,Tokyopop,2011-,Comic or graphic novel ; Fantasy ; Fiction ; Novel
Air ace picture library,,,,,,England,London,Fleetway Publications ; IPC Magazines,1960-1970,Comic or graphic novel
Air adventures of Biggles,"Adventures of Biggles (London, England) ; Biggles comics ; The Adventures of Biggles",,"Johns, W. E. (William Earl), 1893-1968 [person]",,,England,London,Strato Publications,,Comic or graphic novel
Air war picture stories,,,,Pearson's Libraries,,England,London,C. Arthur Pearson,1961-1962,Comic or graphic novel
Air,Flying machine ; History of the future ; Letters from lost countries ; Pureland,,"Perker, M. K., 1972- [person] ; Wilson, G. Willow, 1982- [person]",,,United States of America,New York,DC Comics,2009-2011,Comic or graphic novel ; Novel
Airboy comics,,,,,,England,"London ; Oadby, Leicester",Jenson Book ; Thorpe & Porter,,Comic or graphic novel
Airboy,,9.78163E+12,"Robinson, James, 1963-, author [person] ; Enos, Joel, editor [person] ; Hinkle, Greg, artist [person] ; Rich, Jamie S., editor [person]",,,United States of America,Berkeley,Image Comics,2016,Comic or graphic novel ; Novel
Aithor,,9.7816E+12,"Razzi, Manuela [person] ; Rodrigue, 1961- [person]",Sybil the backpack fairy,3 [Sybil the backpack fairy],England ; United States of America,Godalming ; New York,Melia ; Papercutz,2013,Children's fiction ; Comic or graphic novel
Akai tenshi,Red angel,,"Tateno, Makoto [person]",,,United States of America,"Gardena, California",Digital Manga Publishing,2008,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Akissi : even more tales of mischief,,9.78191E+12,"Sapin, Mathieu, 1974-, artist [person] ; Abouet, Marguerite, 1971-, author [person]",,,England,London,Flying Eye,2020,Children's fiction ; Comic or graphic novel ; Translations into English
Akissi : more tales of mischief,,9.78191E+12,"Sapin, Mathieu, 1974-, artist [person] ; Abouet, Marguerite, 1971-, author [person]",,,England,London,Flying Eye,2019,Children's fiction ; Comic or graphic novel ; Translations into English
Akissi : tales of mischief,,9.78191E+12,"Sapin, Mathieu, 1974-, artist [person] ; Bédrune, Marie, translator [person] ; Taboy, J., translator [person] ; Abouet, Marguerite, 1971-, author [person]",,,England,London,Flying Eye,2018,Children's fiction ; Comic or graphic novel ; Translations into English
Akuma,,9.78193E+12,"Sarracini, Chris, author [person] ; Capcom Co [organisation] ; Ng, Joe, artist [person]",Street Fighter origins,,Canada,"Richmond Hill, Ontariotario",Udon,2013,Comic or graphic novel ; Novel
Akumatized,Miraculous. Volume 4. Akumatized ; Tales of Lady Bug and Cat Noir,9.78163E+12,"D'Andria, Nicole, author [person] ; Black, Cheryl, author [person]",,,United States of America,Canonsburg,Action Lab,2017,Children's fiction ; Comic or graphic novel
Akuto,"Akuto (Derby) ; Akuto (Derby, England)",,,,,England,"Hallgate Close, Oakwood, Derby, DE21 2QY ; Oakwood",Norman Chung,2002-,Comic or graphic novel ; Periodical
Alabaster shadows,,9.78162E+12,"Gardner, Matt, author [person] ; Ferrier, Ryan [person] ; Doucet, Rashad, illustrator [person]",,,United States of America,"Portland, Oregon",Oni Press,2015,Children's fiction ; Comic or graphic novel ; Fiction
Alack Sinner : the age of innocence,Age of innocence ; Alack Sinner. English,9.78163E+12,"Schutz, Diana, translator [person] ; Sampayo, Carlos, 1943-, author [person] ; Muñoz, José, 1942-, artist [person]",,,United States of America,"San Diego, California",EuroComics,2017,Comic or graphic novel
Aladdin : legacy of the lost,,9.78194E+12,"Reilly, Patrick, artist [person] ; Edginton, Ian [person] ; Sejic, Stjepan [person]",,,United States of America,"Los Angeles, California",Radical,2010,Comic or graphic novel ; Fantasy ; Fiction
Aladdin and the magic lamp : graphic novel,Aladdin and the magic lamp,9.78141E+12,"Lemke, Donald B., editor [person] ; Ocampo Ruiz, José Alfonso, artist [person] ; Bowen, Carl, author [person]",Arabian nights tales,,England,London,Raintree,2013,Children's fiction ; Comic or graphic novel ; Novel
Aladdin and the magic lamp,,9.78143E+12,"Bowen, Carl [person] ; Ocampo Ruiz, José Alfonso [person]",Graphic revolve,,United States of America,"Mankato, Minnesota ; Perth",Roundabout ; Stone Arch,2010,Children's fiction ; Comic or graphic novel
Aladdin,Disney Aladdin,9.78179E+12,Disney Enterprises (1996-) [organisation],Cinestory comic,,England,London,Titan,2016,Children's fiction ; Comic or graphic novel
Alamo,,9.78184E+12,"Ennis, Garth [person] ; Dillon, Steve [person]",Preacher,,England,London,Titan,2001,Comic or graphic novel ; Fiction ; Horror
Albert and the others,,9.7819E+12,"Delisle, Guy [person]",,,Canada ; England,"Enfield ; Montréal, Quebec",Drawn & Quarterly,2007,Comic or graphic novel
Alby Figgs,,9.78191E+12,"Pleece, Warren, artist ; author [person]",,,England,London,Blank Slate,2014,Comic or graphic novel
Aldebaran,Betelgeuse ; Blonde ; Catastrophe ; Créature ; Group ; Photo ; Planète,,"Léo, 1944- [person]",,,England,Canterbury,Cinebook,2008-2009,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
Alex and Ada,Alex + Ada. Volume 1 ; Alex plus Ada,9.78163E+12,"Luna, Jonathan, artist ; author [person] ; Vaughn, Sarah, author [person]",,,United States of America,"Berkeley, California",Image Comics,2014,Comic or graphic novel
Alex plus Ada,Alex + Ada. Volume 1 ; Alex and Ada,9.78163E+12,"Luna, Jonathan, artist ; author [person] ; Vaughn, Sarah, author [person]",,,United States of America,"Berkeley, California",Image Comics,2014,Comic or graphic novel
Alex,,9.78156E+12,"Kalesniko, Michael, 1961- [person]",,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2006,Comic or graphic novel ; Fiction ; Novel
Ali Baba : fooling the forty thieves,,9.78076E+12,"Hilinski, Clint [person] ; Croall, Marie P. [person]",,,England,London,Lerner,2010,Children's fiction ; Comic or graphic novel
Ali Baba and the forty thieves : graphic novel,Ali Baba and the forty thieves,9.78141E+12,"Osnaya, Ricardo, 1973-, artist [person] ; Lemke, Donald B., editor [person] ; Manning, Matthew K., author [person]",Arabian nights tales,,England,London,Raintree,2013,Children's fiction ; Comic or graphic novel ; Novel
Ali Baba and the forty thieves,,9.78143E+12,"Manning, Matthew K. [person] ; Osnaya, Ricardo, 1973- [person]",Graphic revolve,,United States of America,"Mankato, Minnesota ; Perth",Roundabout ; Stone Arch,2010,Children's fiction ; Comic or graphic novel
Alias ultimate collection,Alias,,"Gaydos, Michael [person] ; Bendis, Brian Michael [person]",,,United States of America,New York,Marvel Publishing,2009-2010,Comic or graphic novel ; Fiction
Alias,Alias ultimate collection,,"Gaydos, Michael [person] ; Bendis, Brian Michael [person]",,,United States of America,New York,Marvel Publishing,2009-2010,Comic or graphic novel ; Fiction
Alice Cooper versus Chaos,Alice Cooper vs. Chaos,9.78161E+12,"Oliva, Aikau [person] ; Terry, Jim, artist ; author [person] ; A Larger World Studios [organisation] ; Seeley, Tim, author [person]",,,United States of America,Mount Laurel,Dynamite,2016,Comic or graphic novel ; Fiction ; Horror
Alice Cooper,Welcome to my nightmare,9.78161E+12,"Casallos, Eman, artist [person] ; Harris, Joe, author ; writer [person] ; Tenorio, Nacho, artist [person] ; Jerwa, Brandon, author [person]",Alice Cooper,volume 1 [Alice Cooper],United States of America,"Montana Laurel, New Jersey",Dynamite,2015,Comic or graphic novel ; Horror
Alice Sinn : a dead wonderland,,9.78158E+12,"Bordner, Aaron [person]",,,United States of America,"Unadilla, New York",Sirius,2006,Comic or graphic novel ; Fiction ; Horror
Alice at naptime,,9781988903507 ; 9781988903521,"Proulx, Shea, artist ; author [person]",,,Canada,Canmore,Renegade Arts Entertainment,2019,Comic or graphic novel ; Fiction ; Novel
Alice in Blunderland,,9.78075E+12,"Adams, Scott, 1957- [person]",A Dilbert book,,England,London,Boxtree,1999,Comic or graphic novel
Alice in Comicland,,9.78161E+12,"Yoe, Craig, author [person] ; Carroll, Lewis, 1832-1898 [person]",,,United States of America,"San Diego, California",,2014,Comic or graphic novel
Alice in Sunderland : an entertainment,,9.78022E+12,"Talbot, Bryan [person]",,,England,London,Jonathan Cape,2007,Comic or graphic novel ; Fiction ; Novel
Alice in Wonderland cinestory comic,,9.78179E+12,"Walt Disney Pictures [organisation] ; Carroll, Lewis, 1832-1898 [person]",,,England,London,Titan,2016,Children's fiction ; Comic or graphic novel
Alice in Wonderland,,9.78938E+12,"Helfand, Lewis [person] ; Nagulakonda, Rajesh [person] ; Carroll, Lewis, 1832-1898 [person]",,,England ; India,Delhi ; London,Campfire ; Frances Lincoln,2010,Children's fiction ; Comic or graphic novel
Alice in the country of Joker,,9.78163E+12,"QuinRose (Firm), author [organisation]",Nightmare trilogy,1 [Nightmare trilogy],United States of America,New York,Seven Seas,2014,Comic or graphic novel ; Fantasy ; Fiction
Alice in the country of diamonds : junk box diamonds,,9.78163E+12,"QuinRose (Firm), author [organisation]",,,United States of America,New York,Seven Seas,2016,Children's fiction ; Comic or graphic novel ; Fantasy
Alice in the country of hearts,,,"Lee, JuYoun [person] ; QuinRose (Firm) [organisation] ; Hoshino, Soumei [person]",,,United States of America,New York,,2012-,Comic or graphic novel ; Fantasy ; Novel
Alice the 101st,101ninme no Alice. English ; Alice the one hundred and first,,"Kawai, Chigusa [person]",,,United States of America,"Gardena, California",Digital Manga Pub,2010-,Comic or graphic novel ; Novel ; Romance
Alice the one hundred and first,101ninme no Alice. English ; Alice the 101st,,"Kawai, Chigusa [person]",,,United States of America,"Gardena, California",Digital Manga Pub,2010-,Comic or graphic novel ; Novel ; Romance
Alien 3,William Gibson's Alien 3,9.78151E+12,"Bonvillain, Tamra, artist [person] ; Christmas, Johnnie, artist [person] ; Gibson, William, 1948-, author [person]",,,United States of America,Milwaukie,Dark Horse,2019,Comic or graphic novel ; Fiction ; Horror
Alien : the illustrated story,,9781781161296 ; 9781781165959,"Shusett, Ronald [person] ; Workman, John, 1950- [person] ; Goodwin, Archie [person] ; Simonson, Walter [person] ; O'Bannon, Dan [person]",,,England,London,Titan,2012,Comic or graphic novel ; Novel ; Science fiction
Alien Legion omnibus,,,"Potts, Carl [person] ; Cirocco, Frank [person] ; Zelenetz, Alan [person] ; Stroman, Larry [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2009-,Comic or graphic novel ; Fiction
Alien in the outfield,,,"Barnett, Mat, artist [person] ; Kirby, Jack R. B., author [person]",,,England,London,Matthew Barnett,2014-,Comic or graphic novel ; Fiction ; Periodical
Alien ink,,,,,,England,South Croydon,Pulp Theatre,2010-,Comic or graphic novel ; Fiction ; Periodical
Alien reality,,9.7813E+12,"Land, Greg, artist [person] ; David, Peter (Peter Allen), author [person]",Symbiote Spider-man,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction ; Science fiction
Alien rescue,,9.78141E+12,"Fong, Douglas [person] ; Wong, Keira [person]",Halycrus ; Out of this world,,England,London,Scholastic,2009,Children's fiction ; Comic or graphic novel ; Science fiction
Alien snow,,9.78141E+12,"Dahl, Michael [person]",Good vs evil,,England,London,Raintree,2012,Children's fiction ; Comic or graphic novel ; Fantasy
Alien,Smallville season 11. Volume 6. Alien ; Smallville season eleven. 6. Alien ; Smallville season eleven. Volume six. Alien,9.7814E+12,"Temofonte, Saida [person] ; Dym, illustrator [person] ; Staggs, Cat, illustrator [person] ; Salazar, Edgar, 1973-, illustrator [person] ; Petter, Rainer, illustrator [person] ; Strachan, Carrie, illustrator [person] ; Lobel, Benito, illustrator [person] ; Miller, Bryan Q., author [person] ; Lean, Rob, illustrator [person]",,,United States of America,New York,DC Comics,2015,Comic or graphic novel ; Fiction ; Novel
Aliens and apes,Aliens & apes ; Power Girl. Aliens and apes,9781401229108 ; 9781848569836,"Palmiotti, Jimmy [person] ; Gray, Justin, writer [person] ; Conner, Amanda [person]",,,England ; United States of America,London ; New York,DC Comics ; Titan,2010,Comic or graphic novel ; Novel
Aliens omnibus,,,"Verheiden, Mark [person] ; Nelson, Mark A. [person]",,,United States of America,"Milwaukie, Oregon",Dark Horse,2007-,Comic or graphic novel
Aliens versus Predator omnibus,Aliens vs. Predator omnibus,,"Stradley, Randy, 1956- [person] ; Norwood, Phill [person]",,,United States of America,"Milwaukee, Oregon",Dark Horse,2007-,Comic or graphic novel
Aliens vs Predator vs the Terminator,,9.78184E+12,"Schultz, Mark, 1955- [person]",,,England ; United Kingdom,Milwaukie,Dark Horse Comics,2001,Comic or graphic novel ; Fiction ; Science fiction
Aliens,DC Comics/Dark Horse Comics : Aliens,9.7814E+12,"Marz, Ron, author [person] ; Wrightson, Berni, artist [person]",,,United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel ; Fiction
Alignment Earth,Alignment: Earth ; Aquaman and the Others. Volume 2. Alignment Earth ; Long live the dead king ; Other,9.7814E+12,"Medina, Lan, artist [person] ; Jurgens, Dan [person] ; Jurgens, Dan, author [person] ; Martinez, Alvaro, artist [person] ; Chen, Sean, artist [person]",The New 52!,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Novel
Alignment: Earth,Alignment Earth ; Aquaman and the Others. Volume 2. Alignment Earth ; Long live the dead king ; Other,9.7814E+12,"Medina, Lan, artist [person] ; Jurgens, Dan [person] ; Jurgens, Dan, author [person] ; Martinez, Alvaro, artist [person] ; Chen, Sean, artist [person]",The New 52!,,United States of America,"Burbank, California",DC Comics,2015,Comic or graphic novel ; Novel
All beasts will show their teeth,Mora. Vol. 1. All beasts will show their teeth,9781582405889 ; 9781582405896,"Harmon, Paul, artist ; author ; writer [person]",,,United States of America,"Berkeley, California",Image Comics,2006,Comic or graphic novel ; Horror ; Young adult fiction
All coming evil,Elephantmen 2260. Book four. All coming evil,9.78163E+12,"Starkings, Richard, author [person] ; Roshell, John [person] ; Sale, Tim, artist [person] ; Medellin, Axel, 1975-, artist [person]",,,United States of America,"Berkeley, California",Image Comics,2016,Comic or graphic novel
All fall down,,9781840233001 ; 9781840233780,"Baskerville, Stephen [person] ; Wildman, Andrew [person] ; Furman, Simon [person]",Transformers,,England,London,Titan,2001,Comic or graphic novel ; Fiction ; Science fiction
All fun,,,,,,England,London,George Newnes,1967-1967,Comic or graphic novel
All good things,,9.78079E+12,"Espin, Salva, artist [person] ; Duggan, Gerry, author [person] ; Posehn, Brian, 1966-, author [person]",Deadpool,8 [Deadpool],United States of America,New York,Marvel,2015,Comic or graphic novel ; Fiction ; Science fiction
All hail Megatron,"Transformers, Spotlight ; Transformers: all hail Megatron",,"Coller, Casey [person] ; Guidi, Guido, artist [person] ; Figueroa, Don [person] ; Furman, Simon [person] ; McCarthy, Shane, 1975- [person]",The Transformers,,United States of America,"San Diego, California",,2009-2010,Comic or graphic novel ; Fiction
All his engines,,9.78184E+12,"Carey, Mike, 1959- [person] ; Manco, Leonardo [person]",Constantine,,England,London,Titan,2005,Comic or graphic novel ; Fiction ; Science fiction
All laughs,,,,,,England,London,George Newnes,1967-1967,Comic or graphic novel
All of us monsters,V-wars,9.78163E+12,"Turini, Marco, artist [person] ; Robinson, Alan, 1978-, artist [person] ; West-Mensch, Sam [person] ; Maberry, Jonathan, author [person]",V-wars,2 [V-wars],United States of America,"San Diego, California",,2015,Comic or graphic novel
All out war,Best defense ; Calm before ; Days gone bye ; Fear the hunters ; Heart's disease ; Here we remain ; Larger world ; Life among them ; Made to suffer ; March to war ; Miles behind us ; No way out ; Safety behind bars ; Something to fear ; Sorrowful life ; The walking dead ; Too far gone ; We find ourselves ; What we become,,"Rathburn, Cliff [person] ; Moore, Tony, 1978- [person] ; Adlard, Charles, 1966- [person] ; Kirkman, Robert [person]",,,United States of America,"Orange, California",Image Comics,2004-2014,Comic or graphic novel
All right,,,,,,England,London,Simon Murphy,1992-,Comic or graphic novel ; Specimen
All roads,"Xena, Warrior Princess. All roads",9.78152E+12,"Valentine, Genevieve, author [person] ; Gopez, Julius M., artist [person] ; Medel, Ariel, artist [person]","Xena, Warrior Princess","2 [Xena, Warrior Princess]",United States of America,"Mount Laurel, New Jersey",Dynamite Entertainment,2016,Comic or graphic novel ; Fantasy ; Fiction
All star FUBAR,,9.78195E+12,"McComsey, Jeff, editor [person]",,,United States of America,Levittown,FUBAR Press,2018,Comic or graphic novel ; Fiction
All star Superman,,9.78185E+12,"Morrison, Grant [person] ; Quitely, Frank, 1968- [person]",,,England,London,Titan,2007,Comic or graphic novel ; Fiction ; Science fiction
All star comics,DC showcase presents All star comics ; Justice Society of America ; Showcase presents All star comics,9780857688101 ; 9781401233037,"Levitz, Paul [person] ; Staton, Joe [person]",Showcase presents library of classics,,United States of America,New York,DC Comics,2011,Comic or graphic novel ; Fantasy ; Science fiction
All that glitters,"Avalon, web of magic. Omnibus 1 ; Circles in the stream ; Cry of the wolf",9.78194E+12,"Roberts, Rachel [person]",,,England ; United States of America,Godalming ; New York,Melia ; Seven Seas,2012,Children's fiction ; Comic or graphic novel
All the answers,,9.7815E+12,"Kupperman, Michael, 1966-, author [person]",,,United States of America,New York,Gallery 13 ; Simon & Schuster,2018,Biography ; Comic or graphic novel ; History ; Novel
All the best heroes are orphans,Firebreather ; Growing pains ; Image Comics presents Firebreather,,"Kuhn, Andy [person] ; Hester, Phil, 1966- [person] ; Crabtree, Bill, Comic book colorist [person]",,,United States of America,"Orange, California",Image Comics,2004-,Comic or graphic novel ; Fiction ; Novel
All the forgotten things,Backways. Volume 1. All the forgotten things,9.78194E+12,"Marts, Michael, editor [person] ; Carlini, Eleonora, artist [person] ; Jordan, Justin, author [person]",,,United States of America,"Sherman Oaks, California",Aftershock,2017,Comic or graphic novel ; Fantasy ; Young adult fiction
All the nightmares,Astonisher. All the nightmares ; Astonisher. Vol. 2. All the nightmares,9.78194E+12,"Barrionuevo, Al, artist [person] ; Mhan, Pop, artist [person] ; De Campi, Alex, author [person]",Catalyst prime,,United States of America,St Louis,Lion,2018,Comic or graphic novel ; Science fiction
All the pieces fit,Hilo. Book 6. All the pieces fit,9.78053E+12,"Winick, Judd, author [person] ; Villarrubia, José, 1961-, artist [person]",,,United States of America,New York,Random House,2020,Children's fiction ; Comic or graphic novel
All the rest,,9.78079E+12,"Swierczynski, Duane, author [person] ; Layman, John, 1967-, author [person] ; Moore, Stuart, author [person]",Deadpool classic,15 [Deadpool classic],United States of America,New York,Marvel Worldwide,2016,Comic or graphic novel ; Fiction ; Science fiction
All the tears of hell,Toutes les larmes de l'enfer. English,9.78185E+12,"Hamme, Jean van, 1939- [person] ; Vance, William, 1935- [person]",XIII,3 [XIII],England,Canterbury,Cinebook,2010,Comic or graphic novel ; Fiction ; Novel ; Suspense fiction
All to play for,,9.78178E+12,"Williams, Rob (Robert Glyndwr), author [person] ; Henke, Lisa, author [person]",Roy of the Rovers,,England,Oxford,Rebellion,2020,Children's fiction ; Comic or graphic novel
All together now,French quarter ; Tainted love ; True blood : omnibus ; True blood omnibus. 1,9.78163E+12,"Messina, artist [person] ; Ball, Alan, 1957-, author [person] ; Huehner, Mariah [person] ; Andreyko, Marc [person]",,,United States of America,San Diego,,2014,Comic or graphic novel ; Fiction
All will be free,Demerits ; For a better future ; Honors ; Morning glories ; P.E ; Tests,,"Valentino, Jim, 1952- [person] ; Eisma, Joe [person] ; Spencer, Nick [person]",,,United States of America,"Berkeley, California",Image Comics,2011-,Comic or graphic novel
All you need is love,,9.78157E+12,"Takatsuki, Noboru [person] ; Fuyuno, Jinko [person]",Yaoi,,England ; United States of America,"Carson, California ; London",Diamond ; Digital Manga,2008,Comic or graphic novel ; Fiction ; Novel
Allies and enemies,Allies & enemies,9.78163E+12,"Henderson, Mike, 1981-, artist [person] ; Zarcone, Marley, artist [person] ; Bates, Ben, 1982-, artist [person] ; Costa, Mike, author [person]",Teenage Mutant Ninja Turtles,,United States of America,"San Diego, California",,2016,Comic or graphic novel ; Fiction
Allies,,9.7814E+12,"Nanjan, J. [person] ; Sauvage, Marguerite, artist [person] ; Broome, Wendy, illustrator [person] ; Albarran, Juan, artist [person] ; Lawson, Jeremy, artist ; cartoonist [person] ; Jarrell, Sandy, artist [person] ; Abbott, Wes [person] ; Fitzpatrick, Kelly, 1988- [person] ; Braga, Laura, artist ; cartoonist [person] ; Lucia, Ant, artist [person] ; Bennett, Marguerite, author [person] ; Sanapo, M. L. (Maria Laura), artist [person] ; Andolfo, Mirka, artist [person]",DC Comics: Bombshells,volume 2 [DC Comics: Bombshells],United States of America,"Burbank, California",DC Comics,2016,Comic or graphic novel
Almost crying,,9.78157E+12,"Takahashi, Mako [person]",,,United States of America,"Carson, California",Digital Manga,2006,Comic or graphic novel ; Fiction ; Novel
Alone forever : the singles collection,Short stories. Selections,9.7816E+12,"Prince, Liz, artist ; author [person]",,,United States of America,"Marietta, Georgia",Top Shelf Productions,2014,Comic or graphic novel ; Humour or satire ; Novel
Alone together now,Spike. Volume 1. Alone together now,9.7816E+12,"Urru, Franco [person] ; Zanni, Nicola [person] ; Lynch, Brian (Brian Michael), 1973- [person]",,,United States of America,"San Diego, California",,2011,Comic or graphic novel ; Horror
Alopex,Teenage Mutant Ninja Turtles ; Villians. 4. Alopex,,"Nunnelly, Heather, illustrator [person] ; Mowry, Chris [person] ; Lynch, Brian (Brian Michael), 1973-, author [person] ; Campbell, Ross, 1979-, artist [person] ; Curnow, Bobby, editor [person]",Teenage Mutant Ninja Turtles villlains micro series,#4 [Teenage Mutant Ninja Turtles villlains micro series],England,"San Diego, California",,2013,Comic or graphic novel
Alpha Flight,,9.78079E+12,"Claremont, Chris, 1950-, author [person] ; Cassaday, John, author [person] ; Raab, Ben, author [person]",X-men,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
Alpha flight by John Byrne omnibus,,9.7813E+12,"Claremont, Chris, 1950-, author [person] ; Stern, Roger, author [person] ; Byrne, John, 1950-, artist [person]",,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
Alpha war,Green Lantern Corps. Volume 2. Alpha war,9781401240127 ; 9781401242947,"Eltaeb, Gabe [person] ; Cafu, artist [person] ; Deering, Marc [person] ; Hanna, Scott [person] ; Pasarin, Fernando, artist [person] ; Sharpe, Dave, letterer [person] ; Tomasi, Peter, author [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel
Alpha,,9.78079E+12,"Garney, Ron, artist [person] ; Lobdell, Scott, author [person] ; Waid, Mark, 1962-, author [person]",X-men. Age of apocalypse,volume 1 [X-men. Age of apocalypse],United States of America,New York,Marvel Worldwide,2015,Comic or graphic novel ; Fiction ; Science fiction
Alphabetical ballad of carnality,,9.78156E+12,"Sandlin, David, 1956- [person]",A Blab! storybook,,England ; United States of America,"London ; Seattle, Washington",Fantagraphics ; Turnaround,2006,Comic or graphic novel ; Fiction
